test_year,train_years,validation_years,n_all,n_drafted,position_specific,n_raw_features,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,candidate_spearman_all,candidate_spearman_drafted,candidate_hit_auc_drafted,candidate_precision_at_32,candidate_precision_at_64,candidate_ndcg_at_32,candidate_ndcg_at_64,delta_candidate_vs_pick_spearman_drafted,delta_candidate_vs_market_spearman_drafted,delta_market_vs_pick_spearman_drafted,ablation,description
2016,<= 2015,2014-2015,454,246,True,10,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8298,0.584,0.7935,0.5,0.4219,0.9057,0.9114,0.0107,0.0031,0.0077,position_profile_only,Position-family residual models using profile features only.
2017,<= 2016,2015-2016,582,237,True,10,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7839,0.5829,0.7871,0.625,0.5,0.9407,0.9366,0.0067,-0.0057,0.0124,position_profile_only,Position-family residual models using profile features only.
2018,<= 2017,2016-2017,589,240,True,10,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8181,0.6487,0.8147,0.7188,0.5469,0.9564,0.9507,0.019,-0.0034,0.0224,position_profile_only,Position-family residual models using profile features only.
2019,<= 2018,2017-2018,640,234,True,10,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7758,0.6345,0.8309,0.7812,0.5938,0.9616,0.955,0.0265,0.0191,0.0074,position_profile_only,Position-family residual models using profile features only.
2020,<= 2019,2018-2019,325,209,True,10,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8339,0.603,0.8519,0.4062,0.375,0.881,0.9076,-0.002,0.0097,-0.0117,position_profile_only,Position-family residual models using profile features only.
2021,<= 2020,2019-2020,403,199,True,10,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8153,0.6157,0.8197,0.5312,0.4531,0.9269,0.9281,0.03,0.0178,0.0123,position_profile_only,Position-family residual models using profile features only.
2011,<= 2010,2009-2010,365,236,True,27,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.7965,0.5689,0.8183,0.6562,0.375,0.9202,0.8977,-0.0448,-0.0354,-0.0094,position_profile_plus_all_production,Position-family residual models using profile plus all NCAA production features.
2012,<= 2011,2010-2011,365,233,True,27,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.8033,0.5866,0.7862,0.4688,0.3594,0.8964,0.8965,0.0034,-0.0037,0.0071,position_profile_plus_all_production,Position-family residual models using profile plus all NCAA production features.
2013,<= 2012,2011-2012,370,241,True,27,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.7958,0.5789,0.7988,0.4375,0.3906,0.8918,0.9023,0.0024,-0.0061,0.0085,position_profile_plus_all_production,Position-family residual models using profile plus all NCAA production features.
2014,<= 2013,2012-2013,365,243,True,27,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8029,0.6197,0.8343,0.5,0.3594,0.9157,0.9105,0.0447,0.0216,0.0231,position_profile_plus_all_production,Position-family residual models using profile plus all NCAA production features.
